USING CLR
eval_results: {'loss': 442.55585, 'global_step': 500, 'accuracy': 0.1096}
eval_results: {'accuracy': 0.85049999, 'loss': 0.7458961, 'global_step': 31500}
eval_results: {'accuracy': 0.79439998, 'loss': 1.0328355, 'global_step': 32000}
eval_results: {'accuracy': 0.86220002, 'loss': 0.68640685, 'global_step': 32500}
eval_results: {'accuracy': 0.84490001, 'loss': 0.72895318, 'global_step': 33000}
eval_results: {'accuracy': 0.8556, 'loss': 0.70394236, 'global_step': 33500}
eval_results: {'accuracy': 0.7676, 'loss': 1.1049397, 'global_step': 34000}
eval_results: {'accuracy': 0.82880002, 'loss': 0.83865798, 'global_step': 34500}
eval_results: {'accuracy': 0.81169999, 'loss': 0.85190427, 'global_step': 35000}
eval_results: {'accuracy': 0.79220003, 'loss': 0.93762326, 'global_step': 35500}
eval_results: {'accuracy': 0.79949999, 'loss': 1.0799627, 'global_step': 36000}
eval_results: {'accuracy': 0.76450002, 'loss': 1.243705, 'global_step': 36500}
eval_results: {'accuracy': 0.8527, 'loss': 0.75279272, 'global_step': 37000}
eval_results: {'accuracy': 0.8096, 'loss': 0.94773889, 'global_step': 37500}
eval_results: {'accuracy': 0.82200003, 'loss': 0.8472333, 'global_step': 38000}
eval_results: {'accuracy': 0.83450001, 'loss': 0.85105222, 'global_step': 38500}
eval_results: {'accuracy': 0.76090002, 'loss': 1.2938514, 'global_step': 39000}
eval_results: {'accuracy': 0.87080002, 'loss': 0.70070654, 'global_step': 39500}
eval_results: {'accuracy': 0.79900002, 'loss': 0.98282033, 'global_step': 40000}
eval_results: {'accuracy': 0.75669998, 'loss': 1.1414448, 'global_step': 40500}
eval_results: {'accuracy': 0.81110001, 'loss': 0.94705099, 'global_step': 41000}
eval_results: {'accuracy': 0.79720002, 'loss': 1.0209717, 'global_step': 41500}
eval_results: {'accuracy': 0.86489999, 'loss': 0.70309913, 'global_step': 42000}
eval_results: {'accuracy': 0.79659998, 'loss': 1.0025462, 'global_step': 42500}
eval_results: {'accuracy': 0.82499999, 'loss': 0.87710649, 'global_step': 43000}
eval_results: {'accuracy': 0.82370001, 'loss': 0.8750248, 'global_step': 43500}
eval_results: {'accuracy': 0.84890002, 'loss': 0.75765699, 'global_step': 44000}
eval_results: {'accuracy': 0.84539998, 'loss': 0.75767785, 'global_step': 44500}
eval_results: {'accuracy': 0.7949, 'loss': 1.0115674, 'global_step': 45000}
eval_results: {'accuracy': 0.83329999, 'loss': 0.83749217, 'global_step': 45500}
eval_results: {'accuracy': 0.81950003, 'loss': 0.88901222, 'global_step': 46000}
eval_results: {'accuracy': 0.78939998, 'loss': 0.97776735, 'global_step': 46500}
eval_results: {'accuracy': 0.8362, 'loss': 0.81286508, 'global_step': 47000}
eval_results: {'accuracy': 0.79720002, 'loss': 1.0244784, 'global_step': 47500}
eval_results: {'accuracy': 0.829, 'loss': 0.82528734, 'global_step': 48000}
eval_results: {'accuracy': 0.84439999, 'loss': 0.79805899, 'global_step': 48500}
eval_results: {'accuracy': 0.82539999, 'loss': 0.8880806, 'global_step': 49000}
eval_results: {'accuracy': 0.81840003, 'loss': 0.92603678, 'global_step': 49500}
eval_results: {'accuracy': 0.82550001, 'loss': 0.86919522, 'global_step': 50000}
eval_results: {'accuracy': 0.79839998, 'loss': 1.0117693, 'global_step': 50500}
eval_results: {'accuracy': 0.82709998, 'loss': 0.8639428, 'global_step': 51000}
eval_results: {'accuracy': 0.83060002, 'loss': 0.88349122, 'global_step': 51500}
eval_results: {'accuracy': 0.82200003, 'loss': 0.8737005, 'global_step': 52000}
eval_results: {'accuracy': 0.7999, 'loss': 0.96399069, 'global_step': 52500}
eval_results: {'accuracy': 0.79049999, 'loss': 1.0352138, 'global_step': 53000}
eval_results: {'accuracy': 0.82389998, 'loss': 0.8973707, 'global_step': 53500}
eval_results: {'accuracy': 0.83350003, 'loss': 0.80763924, 'global_step': 54000}
eval_results: {'accuracy': 0.83050001, 'loss': 0.84711915, 'global_step': 54500}
eval_results: {'accuracy': 0.87559998, 'loss': 0.64785492, 'global_step': 55000}
eval_results: {'accuracy': 0.85390002, 'loss': 0.69205415, 'global_step': 55500}
eval_results: {'accuracy': 0.77560002, 'loss': 1.1691173, 'global_step': 56000}
eval_results: {'accuracy': 0.78070003, 'loss': 1.1209925, 'global_step': 56500}
eval_results: {'accuracy': 0.76950002, 'loss': 1.1322706, 'global_step': 57000}
eval_results: {'accuracy': 0.79579997, 'loss': 1.1006465, 'global_step': 57500}
eval_results: {'accuracy': 0.75770003, 'loss': 1.3513433, 'global_step': 58000}
eval_results: {'accuracy': 0.84789997, 'loss': 0.85551393, 'global_step': 58500}
eval_results: {'accuracy': 0.82969999, 'loss': 0.81569624, 'global_step': 59000}
eval_results: {'accuracy': 0.8506, 'loss': 0.70226538, 'global_step': 59500}
eval_results: {'accuracy': 0.70730001, 'loss': 1.5808831, 'global_step': 60000}
eval_results: {'accuracy': 0.82120001, 'global_step': 60500, 'loss': 0.96903116}
eval_results: {'accuracy': 0.82080001, 'global_step': 61000, 'loss': 0.83936441}
eval_results: {'accuracy': 0.78430003, 'global_step': 61500, 'loss': 1.1377733}
eval_results: {'accuracy': 0.80930001, 'global_step': 62000, 'loss': 0.98405886}
eval_results: {'accuracy': 0.85570002, 'global_step': 62500, 'loss': 0.73887616}
eval_results: {'accuracy': 0.72909999, 'global_step': 63000, 'loss': 1.4840013}
eval_results: {'accuracy': 0.83099997, 'global_step': 63500, 'loss': 0.85490656}
eval_results: {'accuracy': 0.73189998, 'global_step': 64000, 'loss': 1.4145653}
eval_results: {'accuracy': 0.84829998, 'global_step': 64500, 'loss': 0.73689032}
eval_results: {'accuracy': 0.75880003, 'global_step': 65000, 'loss': 1.3139223}
eval_results: {'accuracy': 0.84530002, 'global_step': 65500, 'loss': 0.77923012}
eval_results: {'accuracy': 0.81160003, 'global_step': 66000, 'loss': 0.94074035}
eval_results: {'accuracy': 0.85530001, 'global_step': 66500, 'loss': 0.7452305}
eval_results: {'accuracy': 0.79500002, 'global_step': 67000, 'loss': 1.1322792}
eval_results: {'accuracy': 0.85610002, 'global_step': 67500, 'loss': 0.73276579}
eval_results: {'accuracy': 0.84079999, 'global_step': 68000, 'loss': 0.76980287}
eval_results: {'accuracy': 0.81190002, 'global_step': 68500, 'loss': 1.0301248}
eval_results: {'accuracy': 0.80760002, 'global_step': 69000, 'loss': 0.89770257}
eval_results: {'accuracy': 0.83249998, 'global_step': 69500, 'loss': 0.84506518}
eval_results: {'accuracy': 0.84249997, 'global_step': 70000, 'loss': 0.7466017}
eval_results: {'accuracy': 0.73589998, 'loss': 1.4003218, 'global_step': 70500}
eval_results: {'accuracy': 0.82679999, 'loss': 0.83756196, 'global_step': 71000}
eval_results: {'accuracy': 0.82880002, 'loss': 0.86812311, 'global_step': 71500}
eval_results: {'accuracy': 0.82099998, 'loss': 0.95199549, 'global_step': 72000}
eval_results: {'accuracy': 0.83329999, 'loss': 0.83720011, 'global_step': 72500}
eval_results: {'accuracy': 0.84829998, 'loss': 0.7837795, 'global_step': 73000}
eval_results: {'accuracy': 0.79409999, 'loss': 1.0555587, 'global_step': 73500}
eval_results: {'accuracy': 0.85729998, 'loss': 0.73515821, 'global_step': 74000}
eval_results: {'accuracy': 0.7791, 'loss': 1.2495743, 'global_step': 74500}
eval_results: {'accuracy': 0.8398, 'loss': 0.80215043, 'global_step': 75000}
eval_results: {'accuracy': 0.80739999, 'loss': 1.015547, 'global_step': 75500}
eval_results: {'accuracy': 0.83219999, 'loss': 0.86881196, 'global_step': 76000}
eval_results: {'accuracy': 0.81779999, 'loss': 0.87213945, 'global_step': 76500}
eval_results: {'accuracy': 0.79610002, 'loss': 1.089844, 'global_step': 77000}
eval_results: {'accuracy': 0.80879998, 'loss': 1.0126935, 'global_step': 77500}
eval_results: {'accuracy': 0.80040002, 'loss': 0.95998937, 'global_step': 78000}
eval_results: {'accuracy': 0.76730001, 'loss': 1.2151393, 'global_step': 78500}
eval_results: {'accuracy': 0.8416, 'loss': 0.82965362, 'global_step': 79000}
eval_results: {'accuracy': 0.7906, 'loss': 1.0743819, 'global_step': 79500}
eval_results: {'accuracy': 0.8017, 'loss': 1.0472261, 'global_step': 80000}

Cifar10, ResNet-56, Step-size 5k, 50k samples, 80k iterations, CLR=0.1-3.0
