USING PC-LR
eval_results: {'loss': 9.9519844, 'accuracy': 0.1154, 'global_step': 500}
eval_results: {'loss': 0.50232595, 'accuracy': 0.9235, 'global_step': 36500}
eval_results: {'loss': 0.49950698, 'accuracy': 0.92460001, 'global_step': 37000}
eval_results: {'loss': 0.48215011, 'accuracy': 0.92799997, 'global_step': 37500}
eval_results: {'loss': 0.48747706, 'accuracy': 0.92519999, 'global_step': 38000}
eval_results: {'loss': 0.50708902, 'accuracy': 0.92379999, 'global_step': 38500}
eval_results: {'loss': 0.5022862, 'accuracy': 0.92409998, 'global_step': 39000}
eval_results: {'loss': 0.49399132, 'accuracy': 0.92790002, 'global_step': 39500}
eval_results: {'loss': 0.48949653, 'accuracy': 0.92699999, 'global_step': 40000}
eval_results: {'loss': 0.48273492, 'accuracy': 0.92629999, 'global_step': 40500}
eval_results: {'loss': 0.49839732, 'accuracy': 0.92519999, 'global_step': 41000}
eval_results: {'loss': 0.50690848, 'accuracy': 0.92320001, 'global_step': 41500}
eval_results: {'loss': 0.49104714, 'accuracy': 0.9271, 'global_step': 42000}
eval_results: {'loss': 0.50372046, 'accuracy': 0.92330003, 'global_step': 42500}
eval_results: {'loss': 0.49596873, 'accuracy': 0.92610002, 'global_step': 43000}
eval_results: {'loss': 0.49185199, 'accuracy': 0.92510003, 'global_step': 43500}
eval_results: {'loss': 0.49126157, 'accuracy': 0.92549998, 'global_step': 44000}
eval_results: {'loss': 0.49946189, 'accuracy': 0.92259997, 'global_step': 44500}
eval_results: {'loss': 0.49820331, 'accuracy': 0.92360002, 'global_step': 45000}
eval_results: {'loss': 0.51624233, 'accuracy': 0.9228, 'global_step': 45500}
eval_results: {'loss': 0.49886167, 'accuracy': 0.92540002, 'global_step': 46000}
eval_results: {'loss': 0.48430648, 'accuracy': 0.92720002, 'global_step': 46500}
eval_results: {'loss': 0.49881423, 'accuracy': 0.92750001, 'global_step': 47000}
eval_results: {'loss': 0.49631527, 'accuracy': 0.9253, 'global_step': 47500}
eval_results: {'loss': 0.49690953, 'accuracy': 0.92559999, 'global_step': 48000}
eval_results: {'loss': 0.49506158, 'accuracy': 0.92510003, 'global_step': 48500}
eval_results: {'loss': 0.50972235, 'accuracy': 0.92009997, 'global_step': 49000}
eval_results: {'loss': 0.50235206, 'accuracy': 0.9224, 'global_step': 49500}
eval_results: {'loss': 0.47973192, 'accuracy': 0.92869997, 'global_step': 50000}
eval_results: {'loss': 0.46887666, 'accuracy': 0.92919999, 'global_step': 50500}
eval_results: {'loss': 0.46899185, 'accuracy': 0.92979997, 'global_step': 51000}
eval_results: {'loss': 0.47064278, 'accuracy': 0.9296, 'global_step': 51500}
eval_results: {'loss': 0.46772453, 'accuracy': 0.92989999, 'global_step': 52000}
eval_results: {'loss': 0.46678969, 'accuracy': 0.9296, 'global_step': 52500}
eval_results: {'loss': 0.46764565, 'accuracy': 0.9285, 'global_step': 53000}
eval_results: {'loss': 0.46849835, 'accuracy': 0.92869997, 'global_step': 53500}
eval_results: {'loss': 0.46784225, 'accuracy': 0.92869997, 'global_step': 54000}
eval_results: {'loss': 0.46721897, 'accuracy': 0.92750001, 'global_step': 54500}
eval_results: {'loss': 0.46819523, 'accuracy': 0.92830002, 'global_step': 55000}
eval_results: {'loss': 0.47143036, 'accuracy': 0.92839998, 'global_step': 55500}
eval_results: {'loss': 0.47050431, 'accuracy': 0.92869997, 'global_step': 56000}
eval_results: {'loss': 0.47247672, 'accuracy': 0.92900002, 'global_step': 56500}
eval_results: {'loss': 0.47206596, 'accuracy': 0.92869997, 'global_step': 57000}
eval_results: {'loss': 0.47254169, 'accuracy': 0.92809999, 'global_step': 57500}
eval_results: {'loss': 0.47171208, 'accuracy': 0.92869997, 'global_step': 58000}
eval_results: {'loss': 0.47318688, 'accuracy': 0.92869997, 'global_step': 58500}
eval_results: {'loss': 0.47197264, 'accuracy': 0.92830002, 'global_step': 59000}
eval_results: {'loss': 0.47326115, 'accuracy': 0.92830002, 'global_step': 59500}
eval_results: {'loss': 0.47406793, 'accuracy': 0.92790002, 'global_step': 60000}
eval_results: {'loss': 0.47360462, 'accuracy': 0.92830002, 'global_step': 60500}
eval_results: {'loss': 0.47119123, 'accuracy': 0.92860001, 'global_step': 61000}
eval_results: {'loss': 0.4710587, 'accuracy': 0.9289, 'global_step': 61500}
eval_results: {'loss': 0.47115335, 'accuracy': 0.92839998, 'global_step': 62000}
eval_results: {'loss': 0.471468, 'accuracy': 0.92930001, 'global_step': 62500}
eval_results: {'loss': 0.47229862, 'accuracy': 0.92900002, 'global_step': 63000}
eval_results: {'loss': 0.47248963, 'accuracy': 0.92869997, 'global_step': 63500}
eval_results: {'loss': 0.47181731, 'accuracy': 0.92919999, 'global_step': 64000}
eval_results: {'loss': 0.47266713, 'accuracy': 0.9289, 'global_step': 64500}
eval_results: {'loss': 0.47527373, 'accuracy': 0.9285, 'global_step': 65000}
eval_results: {'loss': 0.47466981, 'accuracy': 0.92970002, 'global_step': 65500}
eval_results: {'loss': 0.47344083, 'accuracy': 0.92879999, 'global_step': 66000}
eval_results: {'loss': 0.47414997, 'accuracy': 0.92909998, 'global_step': 66500}
eval_results: {'loss': 0.47386914, 'accuracy': 0.92860001, 'global_step': 67000}
eval_results: {'loss': 0.47347683, 'accuracy': 0.9285, 'global_step': 67500}
eval_results: {'loss': 0.47313228, 'accuracy': 0.92860001, 'global_step': 68000}
eval_results: {'loss': 0.47284099, 'accuracy': 0.92930001, 'global_step': 68500}
eval_results: {'loss': 0.47268245, 'accuracy': 0.92830002, 'global_step': 69000}
eval_results: {'loss': 0.47208488, 'accuracy': 0.92930001, 'global_step': 69500}
eval_results: {'loss': 0.47275409, 'accuracy': 0.92879999, 'global_step': 70000}
eval_results: {'loss': 0.47365832, 'accuracy': 0.92869997, 'global_step': 70500}
eval_results: {'loss': 0.47409806, 'accuracy': 0.92790002, 'global_step': 71000}
eval_results: {'loss': 0.47547531, 'accuracy': 0.92820001, 'global_step': 71500}
eval_results: {'loss': 0.47523543, 'accuracy': 0.92839998, 'global_step': 72000}
eval_results: {'loss': 0.47379532, 'accuracy': 0.92869997, 'global_step': 72500}
eval_results: {'loss': 0.47438142, 'accuracy': 0.9289, 'global_step': 73000}
eval_results: {'loss': 0.47571042, 'accuracy': 0.9285, 'global_step': 73500}
eval_results: {'loss': 0.47608522, 'accuracy': 0.92809999, 'global_step': 74000}
eval_results: {'loss': 0.47594729, 'accuracy': 0.92729998, 'global_step': 74500}
eval_results: {'loss': 0.47498444, 'accuracy': 0.92809999, 'global_step': 75000}
eval_results: {'loss': 0.47452113, 'accuracy': 0.92869997, 'global_step': 75500}
eval_results: {'loss': 0.47556522, 'accuracy': 0.92820001, 'global_step': 76000}
eval_results: {'loss': 0.47686628, 'accuracy': 0.92839998, 'global_step': 76500}
eval_results: {'loss': 0.47704872, 'accuracy': 0.92860001, 'global_step': 77000}
eval_results: {'loss': 0.47684708, 'accuracy': 0.92799997, 'global_step': 77500}
eval_results: {'loss': 0.47785583, 'accuracy': 0.9278, 'global_step': 78000}
eval_results: {'loss': 0.47839364, 'accuracy': 0.92799997, 'global_step': 78500}
eval_results: {'loss': 0.47711948, 'accuracy': 0.92739999, 'global_step': 79000}
eval_results: {'loss': 0.47735649, 'accuracy': 0.92830002, 'global_step': 79500}
eval_results: {'loss': 0.47742736, 'accuracy': 0.92760003, 'global_step': 80000}

output for figure 1a PC-LR
