USING PC-LR
eval_results: {'global_step': 500, 'loss': 5.7493596, 'accuracy': 0.2325}
eval_results: {'global_step': 34000, 'loss': 1.2250712, 'accuracy': 0.8251}
eval_results: {'global_step': 34500, 'loss': 1.2238733, 'accuracy': 0.8251}
eval_results: {'global_step': 35000, 'loss': 1.2246257, 'accuracy': 0.82440001}
eval_results: {'global_step': 35500, 'loss': 1.2245781, 'accuracy': 0.82380003}
eval_results: {'global_step': 36000, 'loss': 1.2254183, 'accuracy': 0.82429999}
eval_results: {'global_step': 36500, 'loss': 1.2265722, 'accuracy': 0.82419997}
eval_results: {'global_step': 37000, 'loss': 1.2263112, 'accuracy': 0.82450002}
eval_results: {'global_step': 37500, 'loss': 1.2261215, 'accuracy': 0.82450002}
eval_results: {'global_step': 38000, 'loss': 1.2258024, 'accuracy': 0.82459998}
eval_results: {'global_step': 38500, 'loss': 1.2266811, 'accuracy': 0.82440001}
eval_results: {'global_step': 39000, 'loss': 1.2267653, 'accuracy': 0.82370001}
eval_results: {'global_step': 39500, 'loss': 1.2261405, 'accuracy': 0.82419997}
eval_results: {'global_step': 40000, 'loss': 1.2259607, 'accuracy': 0.82429999}
eval_results: {'global_step': 40500, 'loss': 1.227773, 'accuracy': 0.82440001}
eval_results: {'global_step': 41000, 'loss': 1.228874, 'accuracy': 0.82410002}
eval_results: {'global_step': 41500, 'loss': 1.2295511, 'accuracy': 0.824}
eval_results: {'global_step': 42000, 'loss': 1.2299514, 'accuracy': 0.82429999}
eval_results: {'global_step': 42500, 'loss': 1.2300518, 'accuracy': 0.82419997}
eval_results: {'global_step': 43000, 'loss': 1.2303064, 'accuracy': 0.82410002}
eval_results: {'global_step': 43500, 'loss': 1.230352, 'accuracy': 0.82410002}
eval_results: {'global_step': 44000, 'loss': 1.2305312, 'accuracy': 0.824}
eval_results: {'global_step': 44500, 'loss': 1.2305306, 'accuracy': 0.82389998}
eval_results: {'global_step': 45000, 'loss': 1.2304242, 'accuracy': 0.82410002}
eval_results: {'global_step': 45500, 'loss': 1.2304956, 'accuracy': 0.82410002}
eval_results: {'global_step': 46000, 'loss': 1.2307026, 'accuracy': 0.82440001}
eval_results: {'global_step': 46500, 'loss': 1.2308384, 'accuracy': 0.82429999}
eval_results: {'global_step': 47000, 'loss': 1.2307056, 'accuracy': 0.82419997}
eval_results: {'global_step': 47500, 'loss': 1.2308429, 'accuracy': 0.824}
eval_results: {'global_step': 48000, 'loss': 1.2308843, 'accuracy': 0.82419997}
eval_results: {'global_step': 48500, 'loss': 1.2305751, 'accuracy': 0.82410002}
eval_results: {'global_step': 49000, 'loss': 1.2308122, 'accuracy': 0.82410002}
eval_results: {'global_step': 49500, 'loss': 1.2304186, 'accuracy': 0.82410002}
eval_results: {'global_step': 50000, 'loss': 1.2303307, 'accuracy': 0.82440001}
eval_results: {'global_step': 50500, 'loss': 1.230363, 'accuracy': 0.82440001}
eval_results: {'global_step': 51000, 'loss': 1.2307707, 'accuracy': 0.82419997}
eval_results: {'global_step': 51500, 'loss': 1.2307662, 'accuracy': 0.82419997}
eval_results: {'global_step': 52000, 'loss': 1.2306932, 'accuracy': 0.82410002}
eval_results: {'global_step': 52500, 'loss': 1.2305998, 'accuracy': 0.824}
eval_results: {'global_step': 53000, 'loss': 1.2305734, 'accuracy': 0.82389998}
eval_results: {'global_step': 53500, 'loss': 1.2305619, 'accuracy': 0.82419997}
eval_results: {'global_step': 54000, 'loss': 1.2307011, 'accuracy': 0.82429999}
eval_results: {'global_step': 54500, 'loss': 1.230824, 'accuracy': 0.82419997}
eval_results: {'global_step': 55000, 'loss': 1.2308109, 'accuracy': 0.82429999}
eval_results: {'global_step': 55500, 'loss': 1.2307194, 'accuracy': 0.82429999}
eval_results: {'global_step': 56000, 'loss': 1.2307706, 'accuracy': 0.82459998}
eval_results: {'global_step': 56500, 'loss': 1.2309718, 'accuracy': 0.82450002}
eval_results: {'global_step': 57000, 'loss': 1.2309906, 'accuracy': 0.82410002}
eval_results: {'global_step': 57500, 'loss': 1.2307934, 'accuracy': 0.8247}
eval_results: {'global_step': 58000, 'loss': 1.2305678, 'accuracy': 0.8247}
eval_results: {'global_step': 58500, 'loss': 1.2306929, 'accuracy': 0.82450002}
eval_results: {'global_step': 59000, 'loss': 1.2308518, 'accuracy': 0.8247}
eval_results: {'global_step': 59500, 'loss': 1.2309886, 'accuracy': 0.82459998}
eval_results: {'global_step': 60000, 'loss': 1.2310671, 'accuracy': 0.82419997}
eval_results: {'global_step': 60500, 'loss': 1.2310729, 'accuracy': 0.82419997}
eval_results: {'global_step': 61000, 'loss': 1.2310585, 'accuracy': 0.82410002}
eval_results: {'global_step': 61500, 'loss': 1.2311672, 'accuracy': 0.82419997}
eval_results: {'global_step': 62000, 'loss': 1.2310973, 'accuracy': 0.82429999}
eval_results: {'global_step': 62500, 'loss': 1.2314186, 'accuracy': 0.82429999}
eval_results: {'global_step': 63000, 'loss': 1.2314365, 'accuracy': 0.82450002}
eval_results: {'global_step': 63500, 'loss': 1.2315452, 'accuracy': 0.82450002}
eval_results: {'global_step': 64000, 'loss': 1.2316658, 'accuracy': 0.82450002}
eval_results: {'global_step': 64500, 'loss': 1.2314514, 'accuracy': 0.82450002}
eval_results: {'global_step': 65000, 'loss': 1.2315075, 'accuracy': 0.82440001}
eval_results: {'global_step': 65500, 'loss': 1.2313738, 'accuracy': 0.82429999}
eval_results: {'global_step': 66000, 'loss': 1.2309984, 'accuracy': 0.82459998}
eval_results: {'global_step': 66500, 'loss': 1.231249, 'accuracy': 0.82450002}
eval_results: {'global_step': 67000, 'loss': 1.2309823, 'accuracy': 0.82429999}
eval_results: {'global_step': 67500, 'loss': 1.2311854, 'accuracy': 0.82419997}
eval_results: {'global_step': 68000, 'loss': 1.2309886, 'accuracy': 0.82450002}
eval_results: {'global_step': 68500, 'loss': 1.2312045, 'accuracy': 0.82450002}
eval_results: {'global_step': 69000, 'loss': 1.2313159, 'accuracy': 0.82459998}
eval_results: {'global_step': 69500, 'loss': 1.231263, 'accuracy': 0.82440001}
eval_results: {'global_step': 70000, 'loss': 1.2311226, 'accuracy': 0.82450002}
eval_results: {'global_step': 70500, 'loss': 1.2310253, 'accuracy': 0.82440001}
eval_results: {'global_step': 71000, 'loss': 1.2310719, 'accuracy': 0.82440001}
eval_results: {'global_step': 71500, 'loss': 1.2313511, 'accuracy': 0.82429999}
eval_results: {'global_step': 72000, 'loss': 1.2312449, 'accuracy': 0.82450002}
eval_results: {'global_step': 72500, 'loss': 1.2311239, 'accuracy': 0.82450002}
eval_results: {'global_step': 73000, 'loss': 1.2314094, 'accuracy': 0.82450002}
eval_results: {'global_step': 73500, 'loss': 1.2314677, 'accuracy': 0.82459998}
eval_results: {'global_step': 74000, 'loss': 1.2312193, 'accuracy': 0.82440001}
eval_results: {'global_step': 74500, 'loss': 1.2311583, 'accuracy': 0.82440001}
eval_results: {'global_step': 75000, 'loss': 1.2312746, 'accuracy': 0.82440001}
eval_results: {'global_step': 75500, 'loss': 1.2310762, 'accuracy': 0.82459998}
eval_results: {'global_step': 76000, 'loss': 1.2309258, 'accuracy': 0.8247}
eval_results: {'global_step': 76500, 'loss': 1.2308364, 'accuracy': 0.82450002}
eval_results: {'global_step': 77000, 'loss': 1.2311114, 'accuracy': 0.82450002}
eval_results: {'global_step': 77500, 'loss': 1.2313793, 'accuracy': 0.82450002}
eval_results: {'global_step': 78000, 'loss': 1.231367, 'accuracy': 0.8247}
eval_results: {'global_step': 78500, 'loss': 1.2311813, 'accuracy': 0.82459998}
eval_results: {'global_step': 79000, 'loss': 1.2316756, 'accuracy': 0.82450002}
eval_results: {'global_step': 79500, 'loss': 1.2316124, 'accuracy': 0.82440001}
eval_results: {'global_step': 80000, 'loss': 1.2315426, 'accuracy': 0.82450002}

output for figure 6a PC-LR 10k
