USING PC-LR
eval_results: {'loss': 9.2371473, 'accuracy': 0.1231, 'global_step': 500}
eval_results: {'loss': 0.47117326, 'accuracy': 0.93440002, 'global_step': 36000}
eval_results: {'loss': 0.4706232, 'accuracy': 0.93559998, 'global_step': 36500}
eval_results: {'loss': 0.46530163, 'accuracy': 0.93550003, 'global_step': 37000}
eval_results: {'loss': 0.46112484, 'accuracy': 0.93739998, 'global_step': 37500}
eval_results: {'loss': 0.48102844, 'accuracy': 0.93279999, 'global_step': 38000}
eval_results: {'loss': 0.45437047, 'accuracy': 0.93650001, 'global_step': 38500}
eval_results: {'loss': 0.468413, 'accuracy': 0.93550003, 'global_step': 39000}
eval_results: {'loss': 0.46728289, 'accuracy': 0.93610001, 'global_step': 39500}
eval_results: {'loss': 0.46807331, 'accuracy': 0.93540001, 'global_step': 40000}
eval_results: {'loss': 0.47463661, 'accuracy': 0.93349999, 'global_step': 40500}
eval_results: {'loss': 0.49154732, 'accuracy': 0.93190002, 'global_step': 41000}
eval_results: {'loss': 0.48443496, 'accuracy': 0.93300003, 'global_step': 41500}
eval_results: {'loss': 0.48763025, 'accuracy': 0.93229997, 'global_step': 42000}
eval_results: {'loss': 0.48389786, 'accuracy': 0.93300003, 'global_step': 42500}
eval_results: {'loss': 0.47661555, 'accuracy': 0.93470001, 'global_step': 43000}
eval_results: {'loss': 0.47130704, 'accuracy': 0.93610001, 'global_step': 43500}
eval_results: {'loss': 0.48019588, 'accuracy': 0.93279999, 'global_step': 44000}
eval_results: {'loss': 0.46603206, 'accuracy': 0.93599999, 'global_step': 44500}
eval_results: {'loss': 0.46555856, 'accuracy': 0.93620002, 'global_step': 45000}
eval_results: {'loss': 0.47003701, 'accuracy': 0.93309999, 'global_step': 45500}
eval_results: {'loss': 0.47787908, 'accuracy': 0.93339998, 'global_step': 46000}
eval_results: {'loss': 0.46037045, 'accuracy': 0.93540001, 'global_step': 46500}
eval_results: {'loss': 0.45482278, 'accuracy': 0.9357, 'global_step': 47000}
eval_results: {'loss': 0.47785327, 'accuracy': 0.93169999, 'global_step': 47500}
eval_results: {'loss': 0.46491471, 'accuracy': 0.93449998, 'global_step': 48000}
eval_results: {'loss': 0.48764476, 'accuracy': 0.93169999, 'global_step': 48500}
eval_results: {'loss': 0.4683955, 'accuracy': 0.9332, 'global_step': 49000}
eval_results: {'loss': 0.46730083, 'accuracy': 0.93409997, 'global_step': 49500}
eval_results: {'loss': 0.47603267, 'accuracy': 0.93349999, 'global_step': 50000}
eval_results: {'loss': 0.46225315, 'accuracy': 0.93580002, 'global_step': 50500}
eval_results: {'loss': 0.45557579, 'accuracy': 0.93660003, 'global_step': 51000}
eval_results: {'loss': 0.45469135, 'accuracy': 0.93739998, 'global_step': 51500}
eval_results: {'loss': 0.45435569, 'accuracy': 0.93660003, 'global_step': 52000}
eval_results: {'loss': 0.45398846, 'accuracy': 0.9364, 'global_step': 52500}
eval_results: {'loss': 0.45378149, 'accuracy': 0.9364, 'global_step': 53000}
eval_results: {'loss': 0.45346245, 'accuracy': 0.93699998, 'global_step': 53500}
eval_results: {'loss': 0.45289049, 'accuracy': 0.93769997, 'global_step': 54000}
eval_results: {'loss': 0.45284215, 'accuracy': 0.93589997, 'global_step': 54500}
eval_results: {'loss': 0.45166695, 'accuracy': 0.93650001, 'global_step': 55000}
eval_results: {'loss': 0.45221084, 'accuracy': 0.93580002, 'global_step': 55500}
eval_results: {'loss': 0.45278457, 'accuracy': 0.93599999, 'global_step': 56000}
eval_results: {'loss': 0.45289099, 'accuracy': 0.93629998, 'global_step': 56500}
eval_results: {'loss': 0.45407796, 'accuracy': 0.93580002, 'global_step': 57000}
eval_results: {'loss': 0.45387596, 'accuracy': 0.93529999, 'global_step': 57500}
eval_results: {'loss': 0.45357659, 'accuracy': 0.93620002, 'global_step': 58000}
eval_results: {'loss': 0.4525201, 'accuracy': 0.93620002, 'global_step': 58500}
eval_results: {'loss': 0.45188674, 'accuracy': 0.93599999, 'global_step': 59000}
eval_results: {'loss': 0.45181882, 'accuracy': 0.93690002, 'global_step': 59500}
eval_results: {'loss': 0.45158648, 'accuracy': 0.9364, 'global_step': 60000}
eval_results: {'loss': 0.45236194, 'accuracy': 0.93599999, 'global_step': 60500}
eval_results: {'loss': 0.45264941, 'accuracy': 0.93629998, 'global_step': 61000}
eval_results: {'loss': 0.45275933, 'accuracy': 0.93699998, 'global_step': 61500}
eval_results: {'loss': 0.45243791, 'accuracy': 0.93660003, 'global_step': 62000}
eval_results: {'loss': 0.45345438, 'accuracy': 0.9375, 'global_step': 62500}
eval_results: {'loss': 0.45312899, 'accuracy': 0.93739998, 'global_step': 63000}
eval_results: {'loss': 0.45359734, 'accuracy': 0.9368, 'global_step': 63500}
eval_results: {'loss': 0.45344147, 'accuracy': 0.93660003, 'global_step': 64000}
eval_results: {'loss': 0.45265689, 'accuracy': 0.93650001, 'global_step': 64500}
eval_results: {'loss': 0.45279467, 'accuracy': 0.93669999, 'global_step': 65000}
eval_results: {'loss': 0.45268077, 'accuracy': 0.93720001, 'global_step': 65500}
eval_results: {'loss': 0.45274487, 'accuracy': 0.93730003, 'global_step': 66000}
eval_results: {'loss': 0.45269921, 'accuracy': 0.93720001, 'global_step': 66500}
eval_results: {'loss': 0.45209041, 'accuracy': 0.93650001, 'global_step': 67000}
eval_results: {'loss': 0.45302904, 'accuracy': 0.93660003, 'global_step': 67500}
eval_results: {'loss': 0.45254335, 'accuracy': 0.93720001, 'global_step': 68000}
eval_results: {'loss': 0.45266029, 'accuracy': 0.93669999, 'global_step': 68500}
eval_results: {'loss': 0.4516623, 'accuracy': 0.93690002, 'global_step': 69000}
eval_results: {'loss': 0.45132387, 'accuracy': 0.93699998, 'global_step': 69500}
eval_results: {'loss': 0.45254055, 'accuracy': 0.93769997, 'global_step': 70000}
eval_results: {'loss': 0.45161805, 'accuracy': 0.93720001, 'global_step': 70500}
eval_results: {'loss': 0.45151237, 'accuracy': 0.9368, 'global_step': 71000}
eval_results: {'loss': 0.44997665, 'accuracy': 0.93709999, 'global_step': 71500}
eval_results: {'loss': 0.45089471, 'accuracy': 0.93720001, 'global_step': 72000}
eval_results: {'loss': 0.45157188, 'accuracy': 0.93790001, 'global_step': 72500}
eval_results: {'loss': 0.45154029, 'accuracy': 0.93660003, 'global_step': 73000}
eval_results: {'loss': 0.45163402, 'accuracy': 0.93699998, 'global_step': 73500}
eval_results: {'loss': 0.45002976, 'accuracy': 0.93699998, 'global_step': 74000}
eval_results: {'loss': 0.45101368, 'accuracy': 0.93709999, 'global_step': 74500}
eval_results: {'loss': 0.45166543, 'accuracy': 0.93720001, 'global_step': 75000}
eval_results: {'loss': 0.45123854, 'accuracy': 0.93730003, 'global_step': 75500}
eval_results: {'loss': 0.4509258, 'accuracy': 0.9375, 'global_step': 76000}
eval_results: {'loss': 0.45121536, 'accuracy': 0.93730003, 'global_step': 76500}
eval_results: {'loss': 0.44982007, 'accuracy': 0.93800002, 'global_step': 77000}
eval_results: {'loss': 0.45023143, 'accuracy': 0.93690002, 'global_step': 77500}
eval_results: {'loss': 0.45013919, 'accuracy': 0.9364, 'global_step': 78000}
eval_results: {'loss': 0.45013341, 'accuracy': 0.93629998, 'global_step': 78500}
eval_results: {'loss': 0.4496448, 'accuracy': 0.93650001, 'global_step': 79000}
eval_results: {'loss': 0.44904691, 'accuracy': 0.93730003, 'global_step': 79500}
eval_results: {'loss': 0.44974357, 'accuracy': 0.93739998, 'global_step': 80000}

output for figure 6b PC-LR portion - ResNet110
