USING PC-LR
eval_results: {'global_step': 500, 'accuracy': 0.1961, 'loss': 36.72197}
eval_results: {'global_step': 14000, 'accuracy': 0.70120001, 'loss': 1.1817546}
eval_results: {'global_step': 14500, 'accuracy': 0.63410002, 'loss': 1.3998368}
eval_results: {'global_step': 15000, 'accuracy': 0.76990002, 'loss': 0.87838209}
eval_results: {'global_step': 15500, 'accuracy': 0.77509999, 'loss': 0.90572166}
eval_results: {'global_step': 16000, 'accuracy': 0.77630001, 'loss': 0.89119101}
eval_results: {'global_step': 16500, 'accuracy': 0.79280001, 'loss': 0.82221448}
eval_results: {'global_step': 17000, 'accuracy': 0.72079998, 'loss': 1.1251971}
eval_results: {'global_step': 17500, 'accuracy': 0.77389997, 'loss': 1.033561}
eval_results: {'global_step': 18000, 'accuracy': 0.84149998, 'loss': 0.67944002}
eval_results: {'global_step': 18500, 'accuracy': 0.82190001, 'loss': 0.77257884}
eval_results: {'global_step': 19000, 'accuracy': 0.80010003, 'loss': 0.88816965}
eval_results: {'global_step': 19500, 'accuracy': 0.84549999, 'loss': 0.64087069}
eval_results: {'global_step': 20000, 'accuracy': 0.81629997, 'loss': 0.77422911}
eval_results: {'global_step': 20500, 'accuracy': 0.74150002, 'loss': 1.1488417}
eval_results: {'global_step': 21000, 'accuracy': 0.838, 'loss': 0.71001381}
eval_results: {'global_step': 21500, 'accuracy': 0.83109999, 'loss': 0.7437548}
eval_results: {'global_step': 22000, 'accuracy': 0.85479999, 'loss': 0.62570852}
eval_results: {'global_step': 22500, 'accuracy': 0.84609997, 'loss': 0.69471312}
eval_results: {'global_step': 23000, 'accuracy': 0.81029999, 'loss': 0.80034769}
eval_results: {'global_step': 23500, 'accuracy': 0.82740003, 'loss': 0.8058911}
eval_results: {'global_step': 24000, 'accuracy': 0.80989999, 'loss': 0.8803575}
eval_results: {'global_step': 24500, 'accuracy': 0.84579998, 'loss': 0.68861616}
eval_results: {'global_step': 25000, 'accuracy': 0.85399997, 'loss': 0.65954292}
eval_results: {'global_step': 25500, 'accuracy': 0.90640002, 'loss': 0.45619923}
eval_results: {'global_step': 26000, 'accuracy': 0.91039997, 'loss': 0.45119944}
eval_results: {'global_step': 26500, 'accuracy': 0.90850002, 'loss': 0.46082044}
eval_results: {'global_step': 27000, 'accuracy': 0.91079998, 'loss': 0.46426591}
eval_results: {'global_step': 27500, 'accuracy': 0.9102, 'loss': 0.46333045}
eval_results: {'global_step': 28000, 'accuracy': 0.91079998, 'loss': 0.45681944}
eval_results: {'global_step': 28500, 'accuracy': 0.91079998, 'loss': 0.46342477}
eval_results: {'global_step': 29000, 'accuracy': 0.91070002, 'loss': 0.47162819}
eval_results: {'global_step': 29500, 'accuracy': 0.90710002, 'loss': 0.47349682}
eval_results: {'global_step': 30000, 'accuracy': 0.90859997, 'loss': 0.48272288}
eval_results: {'global_step': 30500, 'accuracy': 0.90820003, 'loss': 0.48739967}
eval_results: {'global_step': 31000, 'accuracy': 0.90759999, 'loss': 0.48035365}
eval_results: {'global_step': 31500, 'accuracy': 0.90710002, 'loss': 0.49250031}
eval_results: {'global_step': 32000, 'accuracy': 0.9095, 'loss': 0.48960549}
eval_results: {'global_step': 32500, 'accuracy': 0.9084, 'loss': 0.49224117}
eval_results: {'global_step': 33000, 'accuracy': 0.90579998, 'loss': 0.50039744}
eval_results: {'global_step': 33500, 'accuracy': 0.90689999, 'loss': 0.49560359}
eval_results: {'global_step': 34000, 'accuracy': 0.90679997, 'loss': 0.48369068}
eval_results: {'global_step': 34500, 'accuracy': 0.90859997, 'loss': 0.48942706}
eval_results: {'global_step': 35000, 'accuracy': 0.90890002, 'loss': 0.48581931}
eval_results: {'global_step': 35500, 'accuracy': 0.90759999, 'loss': 0.49859732}
eval_results: {'global_step': 36000, 'accuracy': 0.90609998, 'loss': 0.50011706}
eval_results: {'global_step': 36500, 'accuracy': 0.90789998, 'loss': 0.50201458}
eval_results: {'global_step': 37000, 'accuracy': 0.90869999, 'loss': 0.50206745}
eval_results: {'global_step': 37500, 'accuracy': 0.90920001, 'loss': 0.49747863}
eval_results: {'global_step': 38000, 'accuracy': 0.90850002, 'loss': 0.49594659}
eval_results: {'global_step': 38500, 'accuracy': 0.9084, 'loss': 0.50994796}
eval_results: {'global_step': 39000, 'accuracy': 0.90810001, 'loss': 0.50340515}
eval_results: {'global_step': 39500, 'accuracy': 0.90710002, 'loss': 0.49676025}
eval_results: {'global_step': 40000, 'accuracy': 0.90259999, 'loss': 0.52275968}
eval_results: {'global_step': 40500, 'accuracy': 0.90630001, 'loss': 0.51097304}
eval_results: {'global_step': 41000, 'accuracy': 0.9077, 'loss': 0.50371277}
eval_results: {'global_step': 41500, 'accuracy': 0.90570003, 'loss': 0.50238508}
eval_results: {'global_step': 42000, 'accuracy': 0.90460002, 'loss': 0.51326281}
eval_results: {'global_step': 42500, 'accuracy': 0.9095, 'loss': 0.49696517}
eval_results: {'global_step': 43000, 'accuracy': 0.90700001, 'loss': 0.50736636}
eval_results: {'global_step': 43500, 'accuracy': 0.90859997, 'loss': 0.49726069}
eval_results: {'global_step': 44000, 'accuracy': 0.90640002, 'loss': 0.51000923}
eval_results: {'global_step': 44500, 'accuracy': 0.9102, 'loss': 0.49518776}
eval_results: {'global_step': 45000, 'accuracy': 0.90670002, 'loss': 0.52202725}
eval_results: {'global_step': 45500, 'accuracy': 0.9077, 'loss': 0.50958037}
eval_results: {'global_step': 46000, 'accuracy': 0.90859997, 'loss': 0.50203449}
eval_results: {'global_step': 46500, 'accuracy': 0.90740001, 'loss': 0.50509626}
eval_results: {'global_step': 47000, 'accuracy': 0.90990001, 'loss': 0.49528733}
eval_results: {'global_step': 47500, 'accuracy': 0.9066, 'loss': 0.51011711}
eval_results: {'global_step': 48000, 'accuracy': 0.90750003, 'loss': 0.50149333}
eval_results: {'global_step': 48500, 'accuracy': 0.90719998, 'loss': 0.51331955}
eval_results: {'global_step': 49000, 'accuracy': 0.9084, 'loss': 0.5001449}
eval_results: {'global_step': 49500, 'accuracy': 0.91070002, 'loss': 0.50391328}
eval_results: {'global_step': 50000, 'accuracy': 0.90890002, 'loss': 0.50761759}
eval_results: {'global_step': 50500, 'accuracy': 0.9109, 'loss': 0.50138396}
eval_results: {'global_step': 51000, 'accuracy': 0.91119999, 'loss': 0.49699035}
eval_results: {'global_step': 51500, 'accuracy': 0.91149998, 'loss': 0.49669582}
eval_results: {'global_step': 52000, 'accuracy': 0.91039997, 'loss': 0.49694145}
eval_results: {'global_step': 52500, 'accuracy': 0.91049999, 'loss': 0.49731484}
eval_results: {'global_step': 53000, 'accuracy': 0.90960002, 'loss': 0.49476987}
eval_results: {'global_step': 53500, 'accuracy': 0.9102, 'loss': 0.4968695}
eval_results: {'global_step': 54000, 'accuracy': 0.91060001, 'loss': 0.49833339}
eval_results: {'global_step': 54500, 'accuracy': 0.91030002, 'loss': 0.49768353}
eval_results: {'global_step': 55000, 'accuracy': 0.91039997, 'loss': 0.49762681}
eval_results: {'global_step': 55500, 'accuracy': 0.91159999, 'loss': 0.49654835}
eval_results: {'global_step': 56000, 'accuracy': 0.91060001, 'loss': 0.49847457}
eval_results: {'global_step': 56500, 'accuracy': 0.91070002, 'loss': 0.49909291}
eval_results: {'global_step': 57000, 'accuracy': 0.91009998, 'loss': 0.5009948}
eval_results: {'global_step': 57500, 'accuracy': 0.91119999, 'loss': 0.49860391}
eval_results: {'global_step': 58000, 'accuracy': 0.90979999, 'loss': 0.498896}
eval_results: {'global_step': 58500, 'accuracy': 0.91030002, 'loss': 0.49802452}
eval_results: {'global_step': 59000, 'accuracy': 0.91049999, 'loss': 0.49783924}
eval_results: {'global_step': 59500, 'accuracy': 0.91000003, 'loss': 0.49749085}
eval_results: {'global_step': 60000, 'accuracy': 0.91009998, 'loss': 0.49914402}
eval_results: {'global_step': 60500, 'accuracy': 0.90960002, 'loss': 0.49829385}
eval_results: {'global_step': 61000, 'accuracy': 0.90930003, 'loss': 0.49842826}
eval_results: {'global_step': 61500, 'accuracy': 0.90939999, 'loss': 0.49996147}
eval_results: {'global_step': 62000, 'accuracy': 0.91070002, 'loss': 0.49933681}
eval_results: {'global_step': 62500, 'accuracy': 0.91000003, 'loss': 0.49722847}
eval_results: {'global_step': 63000, 'accuracy': 0.91180003, 'loss': 0.49974987}
eval_results: {'global_step': 63500, 'accuracy': 0.91189998, 'loss': 0.49692553}
eval_results: {'global_step': 64000, 'accuracy': 0.91109997, 'loss': 0.4986783}
eval_results: {'global_step': 64500, 'accuracy': 0.91060001, 'loss': 0.49977955}
eval_results: {'global_step': 65000, 'accuracy': 0.90969998, 'loss': 0.49866632}
eval_results: {'global_step': 65500, 'accuracy': 0.90930003, 'loss': 0.49950698}
eval_results: {'global_step': 66000, 'accuracy': 0.91009998, 'loss': 0.50093579}
eval_results: {'global_step': 66500, 'accuracy': 0.9095, 'loss': 0.49992177}
eval_results: {'global_step': 67000, 'accuracy': 0.91000003, 'loss': 0.49994075}
eval_results: {'global_step': 67500, 'accuracy': 0.9102, 'loss': 0.50042444}
eval_results: {'global_step': 68000, 'accuracy': 0.91149998, 'loss': 0.50051367}
eval_results: {'global_step': 68500, 'accuracy': 0.91100001, 'loss': 0.49817738}
eval_results: {'global_step': 69000, 'accuracy': 0.91049999, 'loss': 0.50104392}
eval_results: {'global_step': 69500, 'accuracy': 0.91159999, 'loss': 0.4990913}
eval_results: {'global_step': 70000, 'accuracy': 0.91030002, 'loss': 0.49822366}
eval_results: {'global_step': 70500, 'accuracy': 0.91070002, 'loss': 0.50003791}
eval_results: {'global_step': 71000, 'accuracy': 0.90969998, 'loss': 0.49844941}
eval_results: {'global_step': 71500, 'accuracy': 0.91049999, 'loss': 0.49855831}
eval_results: {'global_step': 72000, 'accuracy': 0.91009998, 'loss': 0.49651283}
eval_results: {'global_step': 72500, 'accuracy': 0.90960002, 'loss': 0.49814364}
eval_results: {'global_step': 73000, 'accuracy': 0.9091, 'loss': 0.49782029}
eval_results: {'global_step': 73500, 'accuracy': 0.90859997, 'loss': 0.49968281}
eval_results: {'global_step': 74000, 'accuracy': 0.91009998, 'loss': 0.50007874}
eval_results: {'global_step': 74500, 'accuracy': 0.90990001, 'loss': 0.5028984}
eval_results: {'global_step': 75000, 'accuracy': 0.90990001, 'loss': 0.50282121}
eval_results: {'global_step': 75500, 'accuracy': 0.90969998, 'loss': 0.49905673}
eval_results: {'global_step': 76000, 'accuracy': 0.90899998, 'loss': 0.50134063}
eval_results: {'global_step': 76500, 'accuracy': 0.90990001, 'loss': 0.500642}
eval_results: {'global_step': 77000, 'accuracy': 0.90979999, 'loss': 0.4996078}
eval_results: {'global_step': 77500, 'accuracy': 0.90969998, 'loss': 0.50169027}
eval_results: {'global_step': 78000, 'accuracy': 0.91009998, 'loss': 0.49884209}
eval_results: {'global_step': 78500, 'accuracy': 0.90969998, 'loss': 0.4988918}
eval_results: {'global_step': 79000, 'accuracy': 0.90880001, 'loss': 0.50013584}
eval_results: {'global_step': 79500, 'accuracy': 0.91009998, 'loss': 0.50035477}
eval_results: {'global_step': 80000, 'accuracy': 0.91100001, 'loss': 0.50080734}

output for figure 6b PC-LR portion - ResNet20
