USING PC-LR
eval_results: {'loss': 14.084265, 'accuracy': 0.12710001, 'global_step': 500}
eval_results: {'loss': 0.85221887, 'accuracy': 0.87559998, 'global_step': 24500}
eval_results: {'loss': 0.85150832, 'accuracy': 0.87580001, 'global_step': 25000}
eval_results: {'loss': 0.85185534, 'accuracy': 0.87599999, 'global_step': 25500}
eval_results: {'loss': 0.85213029, 'accuracy': 0.87629998, 'global_step': 26000}
eval_results: {'loss': 0.8529036, 'accuracy': 0.87629998, 'global_step': 26500}
eval_results: {'loss': 0.85267043, 'accuracy': 0.87550002, 'global_step': 27000}
eval_results: {'loss': 0.85336411, 'accuracy': 0.8761, 'global_step': 27500}
eval_results: {'loss': 0.85487121, 'accuracy': 0.87599999, 'global_step': 28000}
eval_results: {'loss': 0.85389429, 'accuracy': 0.8761, 'global_step': 28500}
eval_results: {'loss': 0.85374188, 'accuracy': 0.87620002, 'global_step': 29000}
eval_results: {'loss': 0.85401106, 'accuracy': 0.87650001, 'global_step': 29500}
eval_results: {'loss': 0.85412031, 'accuracy': 0.8757, 'global_step': 30000}
eval_results: {'loss': 0.85445178, 'accuracy': 0.87580001, 'global_step': 30500}
eval_results: {'loss': 0.85566628, 'accuracy': 0.87650001, 'global_step': 31000}
eval_results: {'loss': 0.85471994, 'accuracy': 0.87639999, 'global_step': 31500}
eval_results: {'loss': 0.85565215, 'accuracy': 0.8768, 'global_step': 32000}
eval_results: {'loss': 0.85403216, 'accuracy': 0.8768, 'global_step': 32500}
eval_results: {'loss': 0.85378623, 'accuracy': 0.87620002, 'global_step': 33000}
eval_results: {'loss': 0.85330755, 'accuracy': 0.87650001, 'global_step': 33500}
eval_results: {'loss': 0.85387665, 'accuracy': 0.87650001, 'global_step': 34000}
eval_results: {'loss': 0.85369706, 'accuracy': 0.8768, 'global_step': 34500}
eval_results: {'loss': 0.85312682, 'accuracy': 0.87660003, 'global_step': 35000}
eval_results: {'loss': 0.85326308, 'accuracy': 0.87620002, 'global_step': 35500}
eval_results: {'loss': 0.85300565, 'accuracy': 0.87690002, 'global_step': 36000}
eval_results: {'loss': 0.85420257, 'accuracy': 0.87720001, 'global_step': 36500}
eval_results: {'loss': 0.8537913, 'accuracy': 0.87620002, 'global_step': 37000}
eval_results: {'loss': 0.85383797, 'accuracy': 0.87639999, 'global_step': 37500}
eval_results: {'loss': 0.85453725, 'accuracy': 0.87660003, 'global_step': 38000}
eval_results: {'loss': 0.85480958, 'accuracy': 0.87589997, 'global_step': 38500}
eval_results: {'loss': 0.85552126, 'accuracy': 0.87660003, 'global_step': 39000}
eval_results: {'loss': 0.85486853, 'accuracy': 0.87650001, 'global_step': 39500}
eval_results: {'loss': 0.85450971, 'accuracy': 0.87650001, 'global_step': 40000}
eval_results: {'loss': 0.85431892, 'accuracy': 0.8768, 'global_step': 40500}
eval_results: {'loss': 0.85430586, 'accuracy': 0.87660003, 'global_step': 41000}
eval_results: {'loss': 0.85375208, 'accuracy': 0.87690002, 'global_step': 41500}
eval_results: {'loss': 0.8537333, 'accuracy': 0.87629998, 'global_step': 42000}
eval_results: {'loss': 0.85436571, 'accuracy': 0.87720001, 'global_step': 42500}
eval_results: {'loss': 0.85520583, 'accuracy': 0.87709999, 'global_step': 43000}
eval_results: {'loss': 0.8550474, 'accuracy': 0.87660003, 'global_step': 43500}
eval_results: {'loss': 0.85465533, 'accuracy': 0.87599999, 'global_step': 44000}
eval_results: {'loss': 0.85525382, 'accuracy': 0.87629998, 'global_step': 44500}
eval_results: {'loss': 0.85629308, 'accuracy': 0.87589997, 'global_step': 45000}
eval_results: {'loss': 0.85658211, 'accuracy': 0.87660003, 'global_step': 45500}
eval_results: {'loss': 0.85638124, 'accuracy': 0.87699997, 'global_step': 46000}
eval_results: {'loss': 0.85560668, 'accuracy': 0.87650001, 'global_step': 46500}
eval_results: {'loss': 0.85509378, 'accuracy': 0.8768, 'global_step': 47000}
eval_results: {'loss': 0.85544693, 'accuracy': 0.8761, 'global_step': 47500}
eval_results: {'loss': 0.85496259, 'accuracy': 0.87620002, 'global_step': 48000}
eval_results: {'loss': 0.85524529, 'accuracy': 0.8757, 'global_step': 48500}
eval_results: {'loss': 0.85608923, 'accuracy': 0.8761, 'global_step': 49000}
eval_results: {'loss': 0.85584265, 'accuracy': 0.87629998, 'global_step': 49500}
eval_results: {'loss': 0.85430312, 'accuracy': 0.8761, 'global_step': 50000}
eval_results: {'loss': 0.85484308, 'accuracy': 0.87639999, 'global_step': 50500}
eval_results: {'loss': 0.85500181, 'accuracy': 0.87720001, 'global_step': 51000}
eval_results: {'loss': 0.85489672, 'accuracy': 0.87650001, 'global_step': 51500}
eval_results: {'loss': 0.85466689, 'accuracy': 0.87699997, 'global_step': 52000}
eval_results: {'loss': 0.85366523, 'accuracy': 0.87720001, 'global_step': 52500}
eval_results: {'loss': 0.8535614, 'accuracy': 0.8768, 'global_step': 53000}
eval_results: {'loss': 0.85496175, 'accuracy': 0.87660003, 'global_step': 53500}
eval_results: {'loss': 0.85536414, 'accuracy': 0.87690002, 'global_step': 54000}
eval_results: {'loss': 0.85524994, 'accuracy': 0.87709999, 'global_step': 54500}
eval_results: {'loss': 0.85400057, 'accuracy': 0.87599999, 'global_step': 55000}
eval_results: {'loss': 0.85417402, 'accuracy': 0.87660003, 'global_step': 55500}
eval_results: {'loss': 0.85465902, 'accuracy': 0.87639999, 'global_step': 56000}
eval_results: {'loss': 0.85638911, 'accuracy': 0.87589997, 'global_step': 56500}
eval_results: {'loss': 0.85730153, 'accuracy': 0.87529999, 'global_step': 57000}
eval_results: {'loss': 0.85650146, 'accuracy': 0.87559998, 'global_step': 57500}
eval_results: {'loss': 0.85752648, 'accuracy': 0.87580001, 'global_step': 58000}
eval_results: {'loss': 0.85589164, 'accuracy': 0.87620002, 'global_step': 58500}
eval_results: {'loss': 0.85717314, 'accuracy': 0.8757, 'global_step': 59000}
eval_results: {'loss': 0.85591125, 'accuracy': 0.87589997, 'global_step': 59500}
eval_results: {'loss': 0.85551828, 'accuracy': 0.87720001, 'global_step': 60000}
eval_results: {'loss': 0.85730684, 'accuracy': 0.87669998, 'global_step': 60500}
eval_results: {'loss': 0.8560881, 'accuracy': 0.87730002, 'global_step': 61000}
eval_results: {'loss': 0.85666776, 'accuracy': 0.87739998, 'global_step': 61500}
eval_results: {'loss': 0.85593325, 'accuracy': 0.87690002, 'global_step': 62000}
eval_results: {'loss': 0.85507566, 'accuracy': 0.87669998, 'global_step': 62500}
eval_results: {'loss': 0.85403514, 'accuracy': 0.87620002, 'global_step': 63000}
eval_results: {'loss': 0.85490304, 'accuracy': 0.87620002, 'global_step': 63500}
eval_results: {'loss': 0.85555595, 'accuracy': 0.87669998, 'global_step': 64000}
eval_results: {'loss': 0.85494113, 'accuracy': 0.87629998, 'global_step': 64500}
eval_results: {'loss': 0.85651731, 'accuracy': 0.87660003, 'global_step': 65000}
eval_results: {'loss': 0.85615832, 'accuracy': 0.87580001, 'global_step': 65500}
eval_results: {'loss': 0.85580659, 'accuracy': 0.8768, 'global_step': 66000}
eval_results: {'loss': 0.85529673, 'accuracy': 0.87629998, 'global_step': 66500}
eval_results: {'loss': 0.85544813, 'accuracy': 0.87669998, 'global_step': 67000}
eval_results: {'loss': 0.85367286, 'accuracy': 0.87709999, 'global_step': 67500}
eval_results: {'loss': 0.85412461, 'accuracy': 0.87650001, 'global_step': 68000}
eval_results: {'loss': 0.85437453, 'accuracy': 0.87639999, 'global_step': 68500}
eval_results: {'loss': 0.85510045, 'accuracy': 0.87620002, 'global_step': 69000}
eval_results: {'loss': 0.85524154, 'accuracy': 0.87669998, 'global_step': 69500}
eval_results: {'loss': 0.85546792, 'accuracy': 0.87699997, 'global_step': 70000}
eval_results: {'loss': 0.85486567, 'accuracy': 0.87639999, 'global_step': 70500}
eval_results: {'loss': 0.85491997, 'accuracy': 0.8768, 'global_step': 71000}
eval_results: {'loss': 0.85495257, 'accuracy': 0.87739998, 'global_step': 71500}
eval_results: {'loss': 0.8547982, 'accuracy': 0.87709999, 'global_step': 72000}
eval_results: {'loss': 0.85514861, 'accuracy': 0.87669998, 'global_step': 72500}
eval_results: {'loss': 0.85605311, 'accuracy': 0.87709999, 'global_step': 73000}
eval_results: {'loss': 0.85714632, 'accuracy': 0.8768, 'global_step': 73500}
eval_results: {'loss': 0.85706609, 'accuracy': 0.87620002, 'global_step': 74000}
eval_results: {'loss': 0.85575438, 'accuracy': 0.87599999, 'global_step': 74500}
eval_results: {'loss': 0.85696715, 'accuracy': 0.87690002, 'global_step': 75000}
eval_results: {'loss': 0.85613739, 'accuracy': 0.8761, 'global_step': 75500}
eval_results: {'loss': 0.85574973, 'accuracy': 0.87580001, 'global_step': 76000}
eval_results: {'loss': 0.85517019, 'accuracy': 0.87639999, 'global_step': 76500}
eval_results: {'loss': 0.85435188, 'accuracy': 0.87629998, 'global_step': 77000}
eval_results: {'loss': 0.85446829, 'accuracy': 0.87650001, 'global_step': 77500}
eval_results: {'loss': 0.85566932, 'accuracy': 0.8768, 'global_step': 78000}
eval_results: {'loss': 0.85479581, 'accuracy': 0.87669998, 'global_step': 78500}
eval_results: {'loss': 0.85477579, 'accuracy': 0.87709999, 'global_step': 79000}
eval_results: {'loss': 0.85408455, 'accuracy': 0.87720001, 'global_step': 79500}
eval_results: {'loss': 0.85357022, 'accuracy': 0.87709999, 'global_step': 80000}

output for figure 6a PC-LR 20k
